# H1, H2, H3, H4
0.73,0.37,0.36,0.70
0.03,0.53,0.20,0.25
0.66,0.43,0.58,0.08
0.45,0.49,0.26,0.95
0.17,0.74,0.94,0.69
0.18,0.93,0.47,0.81
0.73,0.00,0.26,0.56
0.61,0.26,0.45,0.98
0.80,0.39,0.06,0.84
0.56,0.04,0.77,0.69
0.32,0.44,0.99,0.78
1.00,0.36,0.12,0.71
0.93,0.36,0.72,0.32
0.25,0.89,0.77,0.86
0.16,0.03,0.02,0.33
0.73,0.77,0.25,0.04
0.48,0.78,0.88,0.85
0.16,0.64,0.19,0.41
0.09,0.96,0.87,0.10
0.89,0.13,0.31,0.24
0.49,0.58,0.70,0.34
0.23,0.57,1.00,0.72
0.10,0.23,0.61,0.40
0.37,0.84,0.87,0.83
0.47,0.53,0.76,0.60
0.00,0.15,0.66,0.51
0.19,0.38,0.10,0.87
0.24,0.61,0.59,0.78
0.14,0.63,0.93,0.61
0.43,0.42,0.17,0.94
0.96,0.75,0.99,0.42
0.09,0.09,0.18,0.25
0.66,0.30,0.49,0.48
0.23,0.38,0.34,0.61
0.18,0.95,0.08,0.18
0.15,0.21,0.80,0.61
0.41,0.19,0.66,0.60
0.68,0.96,0.59,0.80
0.21,0.56,0.85,0.41
0.44,0.24,0.23,0.79
0.16,0.02,0.03,0.78
0.97,0.26,0.85,0.99
0.44,0.60,0.22,0.55
0.52,0.39,0.33,0.59
0.67,0.61,0.68,0.11
0.37,0.65,0.99,0.16
0.24,0.56,0.96,0.59
0.15,0.49,0.50,0.67
0.77,0.37,0.92,0.01
0.84,0.69,0.11,0.58
