# H1, H2, H3, H4
0.23,0.58,0.76,0.57
0.50,0.82,0.44,0.98
0.85,0.09,0.75,0.26
0.77,0.21,0.68,0.10
0.17,0.48,0.71,0.14
0.57,0.94,0.97,0.48
0.70,0.87,0.12,0.83
0.75,0.19,0.54,0.30
0.53,0.54,0.20,0.32
0.95,0.07,0.26,0.84
0.33,0.05,0.06,0.01
0.05,0.11,0.34,0.82
0.19,0.97,0.00,0.80
0.98,0.93,0.67,0.65
0.40,1.00,0.09,0.22
0.63,0.29,0.29,0.09
0.21,0.52,0.19,0.14
0.50,0.01,0.09,1.00
0.21,0.40,0.18,0.73
0.24,0.30,0.02,0.55
0.75,0.84,0.26,0.20
0.38,0.17,0.49,0.01
0.43,0.50,0.22,0.67
0.71,0.93,0.66,0.09
0.81,0.50,0.96,0.35
0.45,0.13,0.14,0.01
0.62,0.87,0.78,0.46
0.03,0.43,0.10,0.46
0.32,0.55,0.46,0.13
0.09,0.96,0.34,0.96
0.85,0.57,0.03,0.15
0.77,0.33,0.51,0.09
0.54,0.48,0.39,0.50
0.29,0.73,0.93,0.63
0.31,0.04,0.20,0.41
0.01,0.84,0.15,0.18
0.68,0.32,0.03,0.08
0.21,0.25,0.88,0.43
0.21,0.72,0.84,0.66
0.32,0.79,0.85,0.95
0.19,0.20,0.24,0.60
0.63,0.56,0.50,0.29
0.60,0.73,0.40,0.13
0.60,0.18,0.77,1.00
0.78,0.22,0.26,0.15
0.46,0.35,0.47,0.13
0.77,0.61,0.43,0.55
0.38,0.02,0.01,0.77
0.97,0.01,0.60,0.95
0.31,0.53,0.57,0.16
